Cities Weather,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
57,norman wells,75,CA,1532296800,43,65.28,-126.83,73.4,8.05
58,mbanza-ngungu,0,CD,1532300061,77,-5.25,14.87,62.67,2.59
59,pangoa,8,PE,1532299952,92,-12.12,-73.0,64.11,0.81
60,sao filipe,44,CV,1532300062,99,14.9,-24.5,75.36,12.88
61,ketchikan,1,US,1532296560,68,55.34,-131.65,66.2,10.29
62,fukue,40,JP,1532296800,74,35.03,136.69,86.0,11.41
63,puerto ayora,75,EC,1532296800,73,-0.74,-90.35,75.2,14.99
64,hwange,68,ZW,1532300063,56,-18.35,26.5,62.22,15.23
65,saldanha,0,PT,1532299935,62,41.42,-6.55,63.39,6.17
66,bredasdorp,0,ZA,1532296800,66,-34.53,20.04,53.6,4.7
67,barrow,0,AR,1532299775,74,-38.31,-60.23,36.57,10.65
68,longyearbyen,75,NO,1532296200,87,78.22,15.63,44.6,2.24
69,rikitea,100,PF,1532299783,100,-23.12,-134.97,70.59,10.65
70,vaini,92,IN,1532300064,99,15.34,74.49,70.14,8.75
71,flinders,0,AU,1532296800,65,-34.58,150.85,41.0,8.05
72,sabang,92,PH,1532300064,100,13.72,123.58,79.5,10.42
73,sabalgarh,92,IN,1532300064,98,26.25,77.41,75.72,3.04
74,bluff,0,AU,1532300064,50,-23.58,149.07,63.03,4.72
75,coquimbo,0,CL,1532296800,76,-29.95,-71.34,55.4,10.29
76,punta arenas,75,CL,1532296800,74,-53.16,-70.91,37.4,10.29
77,bathsheba,40,BB,1532296800,69,13.22,-59.52,80.6,18.34
78,talnakh,0,RU,1532299797,76,69.49,88.39,48.99,16.69
79,ilulissat,75,GL,1532296200,80,69.22,-51.1,41.0,3.36
80,lulea,0,SE,1532298000,94,65.58,22.15,68.0,1.12
81,pevek,12,RU,1532300066,90,69.7,170.27,46.56,6.73
82,saint anthony,1,US,1532296560,23,43.97,-111.68,86.0,11.41
83,tasiilaq,0,GL,1532296200,76,65.61,-37.64,48.2,8.05
84,georgetown,40,GY,1532296800,74,6.8,-58.16,82.4,11.41
85,tautira,20,PF,1532298600,66,-17.73,-149.15,84.2,14.99
86,warrnambool,48,AU,1532300037,86,-38.38,142.48,55.02,26.75
87,sadat,36,YE,1532300067,83,14.53,44.17,53.67,1.14
88,isla vista,1,US,1532298900,37,34.41,-119.86,86.0,14.99
89,rossland,20,CA,1532296800,17,49.08,-117.8,86.0,2.24
90,fortuna,0,ES,1532298600,83,38.18,-1.13,77.0,4.7
91,ribeira grande,100,PT,1532299807,100,38.52,-28.7,72.75,15.12
92,gimli,100,CA,1532300068,96,50.63,-96.99,68.7,10.09
93,walvis bay,36,NA,1532300068,92,-22.95,14.51,61.77,1.7
94,faya,5,SA,1532296800,40,18.39,42.45,73.4,6.93
95,hofn,80,IS,1532299787,100,64.25,-15.21,48.99,12.21
96,katobu,64,ID,1532300069,100,-4.94,122.53,77.52,4.16
97,port macquarie,0,AU,1532296800,93,-31.43,152.91,41.0,5.06
98,broken hill,0,AU,1532300069,53,-31.97,141.45,53.22,20.71
99,gora kalwaria,0,PL,1532298600,64,51.98,21.22,73.4,12.75
100,murgab,0,TM,1532300069,33,37.5,61.97,84.81,9.86
101,lata,64,IN,1532300070,100,30.78,78.62,60.06,1.36
102,egvekinot,92,RU,1532300070,92,66.32,-179.17,50.52,3.38
103,eidfjord,64,NO,1532300070,88,60.47,7.07,47.1,2.26
104,upernavik,48,GL,1532299953,100,72.79,-56.15,36.75,3.6
105,sitka,44,US,1532300070,30,37.17,-99.65,97.77,14.0
106,port elizabeth,90,US,1532297640,78,39.31,-74.98,82.4,10.29
107,kungurtug,36,RU,1532300071,94,50.6,97.53,46.47,3.27
108,cabo san lucas,5,MX,1532295960,26,22.89,-109.91,95.0,17.22
109,turukhansk,68,RU,1532300071,81,65.8,87.96,61.77,7.85
110,grong,76,NO,1532300072,88,64.47,12.32,56.28,2.37
111,oranjemund,8,ZA,1532300072,86,-28.55,16.43,62.22,6.62
112,amherst,75,CA,1532296800,65,45.83,-64.21,82.4,14.99
113,sao miguel do araguaia,20,BR,1532300072,75,-13.28,-50.16,69.42,2.59
114,saint-philippe,90,CA,1532297700,69,45.36,-73.48,84.2,11.41
115,uberlandia,0,BR,1532296800,35,-18.92,-48.28,73.4,4.7
116,teplyk,32,UA,1532300073,93,48.66,29.75,60.06,2.71
117,shimoda,20,JP,1532300073,89,34.7,138.93,79.95,4.5
118,mar del plata,0,AR,1532300074,83,-46.43,-67.52,33.87,11.43
119,karratha,0,AU,1532300074,89,-20.74,116.85,60.51,11.43
120,sao desiderio,0,BR,1532300074,33,-12.36,-44.97,69.51,11.65
121,klaksvik,76,FO,1532298000,87,62.23,-6.59,51.8,6.93
122,atuona,56,PF,1532300075,100,-9.8,-139.03,78.87,17.47
123,khatanga,56,RU,1532299947,74,71.98,102.47,41.07,12.21
124,maragogi,80,BR,1532299817,82,-9.01,-35.22,74.46,11.99
125,aklavik,40,CA,1532296800,36,68.22,-135.01,78.8,6.93
126,bethel,90,US,1532296380,68,60.79,-161.76,64.4,11.41
127,bahia blanca,20,AR,1532299924,81,-38.72,-62.27,40.53,12.21
128,pochutla,20,MX,1532296080,38,15.74,-96.47,93.2,7.63
129,tumwater,1,US,1532297700,29,47.01,-122.91,87.8,8.05
130,nampula,20,MZ,1532296800,82,-15.12,39.26,64.4,6.93
131,muros,0,ES,1532298600,88,42.77,-9.06,64.4,4.7
132,khor,64,RU,1532300076,89,47.88,134.96,72.21,4.16
133,banepa,75,NP,1532296200,100,27.63,85.52,69.8,3.36
134,busselton,92,AU,1532299827,100,-33.64,115.35,61.59,24.96
135,palana,0,RU,1532299974,63,59.08,159.95,66.27,4.5
136,san quintin,75,PH,1532296800,94,17.54,120.52,78.8,6.93
137,husavik,100,CA,1532300077,96,50.56,-96.99,68.7,10.09
138,ponta delgada,20,PT,1532298600,83,37.73,-25.67,69.8,5.82
139,hilo,1,US,1532296560,66,19.71,-155.08,84.2,10.29
140,quatre cocos,40,MU,1532296800,68,-20.21,57.76,69.8,9.17
141,kahului,75,US,1532298420,69,20.89,-156.47,86.0,9.17
142,shimanovsk,20,RU,1532300078,82,52.0,127.67,74.73,3.6
143,xiongzhou,90,CN,1532296800,100,32.34,118.83,77.0,8.95
144,constitucion,40,MX,1532296200,19,23.99,-104.67,87.8,11.41
145,woodmere,90,US,1532297820,77,41.46,-81.48,80.6,9.17
146,nanortalik,0,GL,1532300079,96,60.14,-45.24,39.09,5.17
147,tuktoyaktuk,40,CA,1532296800,72,69.44,-133.03,64.4,9.17
148,mitu,0,IR,1532300080,68,36.2,46.09,52.5,1.92
149,victoria,75,BN,1532298600,88,5.28,115.24,80.6,1.12
150,leningradskiy,0,RU,1532299813,100,69.38,178.42,35.04,8.63
151,souillac,0,FR,1532298600,77,45.6,-0.6,66.2,4.7
152,canutama,0,BR,1532300081,70,-6.53,-64.38,79.86,2.82
153,palmer,75,US,1532298960,68,61.6,-149.11,66.2,4.7
154,north bend,1,US,1532297700,72,43.41,-124.22,60.8,23.04
155,ugoofaaru,80,MV,1532299819,100,5.67,73.0,81.12,22.17
156,chokurdakh,92,RU,1532300081,68,70.62,147.9,55.38,12.33
157,qaanaaq,88,GL,1532300082,100,77.48,-69.36,33.69,1.36
158,san policarpo,92,PH,1532300082,100,12.18,125.51,75.45,10.2
159,el dorado,64,VE,1532300082,98,6.71,-61.64,73.11,2.15
160,hasaki,75,JP,1532296800,83,35.73,140.83,84.2,6.93
161,new norfolk,75,AU,1532298600,61,-42.78,147.06,50.0,10.29
162,cayenne,80,GF,1532298600,88,4.94,-52.33,80.6,3.36
163,severo-yeniseyskiy,12,RU,1532300083,79,60.37,93.04,51.15,2.59
164,meadow lake,90,CA,1532296800,72,54.13,-108.44,62.6,19.46
165,likhoy,0,RU,1532300083,91,48.13,40.2,66.27,4.5
166,melong,92,CM,1532300084,100,5.12,9.95,65.28,2.93
167,gohad,44,IN,1532300084,96,26.42,78.44,77.25,2.93
168,agirish,12,RU,1532300084,81,61.92,63.02,54.57,3.6
169,notre-dame-du-lac,90,CA,1532296380,37,47.61,-68.8,82.4,11.41
170,sur,0,OM,1532300085,80,22.57,59.53,89.13,10.65
171,kruisfontein,0,ZA,1532300085,51,-34.0,24.73,68.16,11.99
172,nuevo progreso,1,US,1532297700,27,26.05,-97.95,102.2,10.29
173,nokaneng,0,BW,1532300085,75,-19.66,22.19,47.28,3.83
174,grand gaube,40,MU,1532296800,68,-20.01,57.66,69.8,9.17
175,jalu,0,LY,1532300086,42,29.03,21.55,76.53,1.92
176,helena,1,US,1532296380,13,46.59,-112.04,82.4,3.38
177,cidreira,92,BR,1532300086,89,-30.17,-50.22,57.54,10.42
178,atar,88,MR,1532300086,52,20.52,-13.05,83.19,2.48
179,zhanaozen,48,KZ,1532300087,37,43.35,52.85,81.21,10.76
180,luganville,75,VU,1532296800,88,-15.51,167.18,77.0,5.82
181,tuatapere,88,NZ,1532300087,100,-46.13,167.69,44.58,13.44
182,minuwangoda,40,LK,1532297400,88,7.17,79.95,78.8,5.82
183,mahebourg,40,MU,1532296800,68,-20.41,57.7,69.8,9.17
184,den helder,0,NL,1532298300,93,52.96,4.76,62.6,1.12
185,sargur,68,IN,1532300088,96,11.98,76.42,68.61,7.85
186,malindi,92,KE,1532300088,76,-3.22,40.12,77.97,18.25
187,san ramon de la nueva oran,0,AR,1532300088,65,-23.13,-64.33,54.3,7.07
188,narsaq,20,GL,1532296200,51,60.91,-46.05,59.0,4.7
189,kenitra,40,MA,1532298600,88,34.26,-6.57,64.4,4.16
190,rovaniemi,90,FI,1532298000,93,66.5,25.72,66.2,9.17
191,cockburn town,76,TC,1532300089,99,21.46,-71.14,82.2,17.25
192,lanzhou,90,CN,1532296800,88,36.06,103.82,66.2,6.71
193,celestun,0,MX,1532300090,97,20.87,-90.4,83.55,15.68
194,dhidhdhoo,64,MV,1532300090,100,6.88,73.1,81.21,21.83
195,vostok,92,RU,1532300090,98,46.45,135.83,72.21,2.82
196,cherskiy,20,RU,1532299964,39,68.75,161.3,56.82,6.62
197,nabire,80,ID,1532300091,87,-3.36,135.5,73.2,2.48
198,zhaoyang,0,CN,1532300091,93,42.68,126.03,83.82,6.62
199,half moon bay,1,US,1532299200,77,37.46,-122.43,87.8,9.17
200,college,1,US,1532296680,30,64.86,-147.8,84.2,3.36
201,tambovka,20,UA,1532300112,97,46.93,35.45,65.28,2.71
202,maningrida,8,AU,1532300113,65,-12.05,134.23,74.1,8.97
203,bafata,92,GW,1532300113,95,12.17,-14.67,74.91,6.4
204,clayton,1,US,1532296500,18,36.45,-103.19,96.8,4.7
205,san patricio,12,PY,1532300114,71,-26.98,-56.83,55.11,4.94
206,saint george,0,GR,1532296200,26,39.45,22.34,82.4,11.41
207,kavieng,64,PG,1532300114,100,-2.57,150.8,81.48,1.59
208,culaman,36,PH,1532300114,78,5.96,125.66,81.75,3.94
209,liepaja,0,LV,1532298000,100,56.52,21.02,60.8,5.39
210,castro,92,CL,1532300115,100,-42.48,-73.76,42.33,5.17
211,solnechnyy,0,RU,1532300115,71,50.72,136.64,70.68,3.71
212,inhambane,92,MZ,1532300115,99,-23.87,35.38,68.52,12.77
213,namibe,0,AO,1532300115,97,-15.19,12.15,67.35,9.75
214,tommot,92,RU,1532300116,83,58.97,126.27,49.8,7.07
215,bud,92,NO,1532298000,82,62.91,6.91,60.8,9.17
216,emilio carranza,0,MX,1532300116,63,19.97,-96.61,84.36,5.06
217,ahipara,92,NZ,1532300117,91,-35.17,173.16,56.28,8.41
218,viedma,0,AR,1532300117,63,-40.81,-62.99,40.89,16.13
219,moose factory,1,CA,1532296800,55,51.26,-80.61,64.4,8.05
220,bambous virieux,40,MU,1532296800,68,-20.34,57.76,69.8,9.17
221,vila velha,90,BR,1532300400,78,-3.71,-38.6,80.6,8.05
222,lebu,88,ET,1532299972,98,8.96,38.73,53.04,2.48
223,gizo,20,IL,1532298000,83,31.8,34.94,78.8,5.82
224,lompoc,75,US,1532298180,72,34.64,-120.46,75.2,11.41
225,sola,75,NO,1532298000,93,58.89,5.65,60.8,5.82
226,chara,0,GR,1532296200,26,39.42,22.43,82.4,11.41
227,medicine hat,75,CA,1532296800,31,50.04,-110.68,75.2,14.99
228,ukiah,1,US,1532296560,26,39.15,-123.21,96.8,9.17
229,kaeo,56,NZ,1532300119,82,-35.1,173.78,57.27,5.17
230,boyolangu,20,ID,1532300119,92,-8.09,111.9,71.31,7.4
231,zdvinsk,92,RU,1532300119,100,54.7,78.67,55.02,13.22
232,chapais,75,CA,1532296800,42,49.78,-74.86,80.6,10.29
233,korhogo,12,CI,1532300120,96,9.46,-5.63,71.58,5.61
234,akranes,90,IS,1532296800,87,64.32,-22.07,48.2,5.82
235,greymouth,92,NZ,1532300120,100,-42.45,171.21,49.89,7.52
236,riyadh,0,SA,1532296800,15,24.63,46.72,86.0,2.24
237,roald,92,NO,1532298000,100,62.58,6.12,62.6,20.8
238,saint-francois,0,FR,1532298600,60,46.42,3.91,68.0,5.82
239,san pedro,0,AR,1532300122,89,-33.68,-59.66,41.61,2.59
240,santiago,0,CL,1532296800,39,-33.44,-70.65,50.0,3.36
241,baruun-urt,64,MN,1532300123,62,46.68,113.28,68.61,5.61
242,paamiut,0,GL,1532300123,91,61.99,-49.67,42.24,22.39
243,popondetta,0,PG,1532300123,60,-8.77,148.24,77.7,1.92
244,alice springs,0,AU,1532298600,25,-23.7,133.88,62.6,4.7
245,zhengjiatun,48,CN,1532300124,84,43.51,123.51,82.56,10.98
246,kangaatsiaq,20,GL,1532300124,91,68.31,-53.46,41.34,4.38
247,portland,20,US,1532296560,27,45.52,-122.67,89.6,11.41
248,carballo,0,ES,1532298600,82,43.21,-8.69,66.2,3.15
249,nagato,75,JP,1532297160,88,34.35,131.14,82.4,2.24
250,barra do garcas,8,BR,1532300125,70,-15.89,-52.26,69.06,1.36
251,santa cruz,1,US,1532298900,44,36.97,-122.03,84.2,21.92
252,novyy urengoy,8,RU,1532300126,51,66.08,76.63,66.45,11.65
253,acari,0,BR,1532300126,62,-6.44,-36.64,73.74,14.12
254,thompson,90,CA,1532296800,56,55.74,-97.86,73.4,8.05
255,eyl,0,SO,1532300127,74,7.98,49.82,79.32,21.83
256,renala khurd,80,PK,1532300127,93,30.88,73.6,79.77,5.95
257,barentu,92,ER,1532300127,100,15.11,37.59,66.27,3.27
258,aguimes,20,ES,1532298600,68,27.91,-15.45,71.6,20.8
259,taltal,0,CL,1532300127,87,-25.41,-70.49,54.12,3.71
260,mayo,75,CA,1532296800,29,63.59,-135.9,78.8,5.82
261,port hedland,0,AU,1532298600,93,-20.31,118.58,57.2,2.24
262,vidra,0,RO,1532298600,83,44.26,26.16,69.8,3.6
263,caravelas,92,BR,1532300128,100,-17.73,-39.27,72.39,10.76
264,margate,75,AU,1532298600,61,-43.03,147.26,50.0,10.29
265,huarmey,0,PE,1532300129,77,-10.07,-78.15,62.49,3.49
266,wageningen,0,NL,1532298300,87,51.98,5.66,68.0,5.73
267,katsuura,40,JP,1532296800,83,33.93,134.5,82.4,8.05
268,fethiye,0,TR,1532298000,44,36.62,29.12,80.6,9.17
269,samarai,68,PG,1532300130,100,-10.62,150.67,77.61,13.0
270,maniitsoq,0,GL,1532300130,87,65.42,-52.9,45.21,3.71
271,sechura,44,PE,1532300130,79,-5.56,-80.82,70.23,12.21
272,sikonge,0,TZ,1532300130,51,-5.63,32.75,61.32,12.1
273,mopti,20,ML,1532300131,80,14.49,-4.19,79.59,5.61
274,asyut,0,EG,1532296800,48,27.18,31.19,84.2,11.41
275,conneaut,40,US,1532297820,88,41.95,-80.55,71.6,5.82
276,alyangula,24,AU,1532300131,95,-13.85,136.42,74.55,8.3
277,opuwo,0,NA,1532300132,56,-18.06,13.84,44.76,5.17
278,zhezkazgan,0,KZ,1532300057,58,47.8,67.71,54.12,22.84
279,bataipora,48,BR,1532300132,61,-22.3,-53.27,71.76,7.96
280,melita,8,CA,1532300132,89,49.27,-100.98,74.46,8.19
281,kalabo,0,ZM,1532300132,60,-15.0,22.67,57.54,12.55
282,nemuro,44,JP,1532300133,100,43.32,145.57,57.09,19.82
283,berlevag,80,NO,1532300133,95,70.86,29.09,52.59,3.83
284,manakara,92,MG,1532300133,100,-22.14,48.01,66.81,12.88
285,camacha,20,PT,1532298600,73,33.08,-16.33,71.6,8.05
286,kerch,24,UA,1532300133,99,45.35,36.45,78.69,14.67
287,dukat,36,RS,1532300134,85,42.44,22.31,58.89,1.7
288,shchigry,64,RU,1532300134,95,51.87,36.91,64.47,6.73
289,launceston,88,AU,1532298600,81,-41.43,147.14,44.6,5.82
290,neiafu,20,TO,1532296800,61,-18.65,-173.98,77.0,5.82
291,gallup,1,US,1532296380,18,35.53,-108.74,91.4,5.82
292,mecca,0,SA,1532296800,38,21.43,39.83,93.2,1.48
293,saint-pierre,0,FR,1532298600,63,48.95,4.24,64.4,5.82
294,nadvoitsy,48,RU,1532300136,96,63.89,34.27,66.54,4.61
295,bauchi,12,NG,1532300136,95,10.31,9.85,67.62,2.82
296,wamba,24,CD,1532300136,96,2.14,27.99,66.72,2.04
297,kudahuvadhoo,92,MV,1532300136,100,2.67,72.89,78.06,17.36
298,hengyang,0,CN,1532300136,97,26.89,112.6,83.37,4.38
299,bonavista,0,CA,1532300137,69,48.65,-53.11,66.27,14.23
300,guerrero negro,12,MX,1532300137,66,27.97,-114.04,78.69,13.22
301,marystown,92,CA,1532300137,91,47.17,-55.16,59.07,11.43
302,nakamura,40,JP,1532296800,74,35.17,136.87,86.0,11.41
303,birjand,0,IR,1532296800,28,32.86,59.22,80.6,4.7
304,guanica,90,PR,1532296200,65,17.97,-66.91,82.4,4.7
305,mandan,40,US,1532297700,58,46.83,-100.89,84.2,17.22
306,owando,0,CG,1532300138,92,-0.49,15.91,70.86,2.37
307,acapulco,20,MX,1532296200,74,16.86,-99.88,87.8,12.75
308,mana,0,RS,1532298600,100,43.52,20.24,62.6,2.24
309,pringsewu,44,ID,1532300139,89,-5.36,104.98,73.56,3.71
310,brazzaville,0,CD,1532296800,88,-4.27,15.27,71.6,4.7
311,madaoua,8,NE,1532300140,75,14.07,5.96,79.5,7.96
312,kodiak,1,US,1532296380,43,39.95,-94.76,87.8,6.93
313,okakarara,0,NA,1532300140,73,-20.59,17.46,43.41,7.52
314,surovikino,12,RU,1532300144,90,48.61,42.84,65.64,2.71
315,anadyr,90,RU,1532296800,100,64.73,177.51,51.8,6.71
316,mega,92,ET,1532300144,94,4.06,38.32,59.61,7.07
317,sorong,80,ID,1532300144,100,-0.86,131.25,79.59,9.75
318,mount isa,0,AU,1532298600,26,-20.73,139.49,46.4,4.61
319,kimbe,56,PG,1532300145,100,-5.56,150.15,80.76,6.96
320,komsomolskiy,56,RU,1532300145,54,67.55,63.78,69.6,5.61
321,puri,20,ID,1532296800,94,-7.54,112.45,75.2,1.12
322,okha,20,RU,1532300146,94,53.59,142.95,58.71,5.5
323,airai,0,TL,1532300146,71,-8.93,125.41,69.24,2.26
324,guilin,20,CN,1532296800,94,25.28,110.29,75.2,2.24
325,sanming,20,CN,1532300146,86,26.24,117.6,78.69,2.37
326,luau,0,CD,1532300146,49,-10.7,22.23,58.44,5.5
327,abu dhabi,0,AE,1532296800,67,24.47,54.37,93.2,5.82
328,juneau,20,US,1532296560,49,58.3,-134.42,73.4,10.29
329,fort nelson,75,CA,1532296800,32,58.81,-122.69,68.0,11.41
330,lircay,20,PE,1532296800,52,-12.99,-74.72,64.4,5.82
331,hovd,75,NO,1532298000,82,63.83,10.7,62.6,11.41
332,makakilo city,75,US,1532296620,55,21.35,-158.09,87.8,8.05
333,yumen,0,CN,1532300148,37,40.29,97.04,64.83,6.06
334,eyrarbakki,90,IS,1532296800,87,63.86,-21.15,48.2,5.82
335,masvingo,0,ZW,1532300148,94,-20.08,30.83,45.03,6.62
336,ibia,92,NG,1532300148,98,5.18,6.32,74.64,6.62
337,entre rios,92,BR,1532300149,79,-11.94,-38.08,75.81,10.76
338,berga,0,ES,1532298600,94,42.1,1.85,68.0,1.12
339,richards bay,0,ZA,1532300149,76,-28.77,32.06,63.39,11.1
340,gazanjyk,0,TM,1532300149,60,39.24,55.52,78.06,2.59
341,athabasca,56,CA,1532300150,63,54.72,-113.29,68.07,13.56
342,revelstoke,1,CA,1532296800,41,50.99,-118.19,75.2,1.81
343,buala,88,SB,1532299966,87,-8.15,159.59,82.47,7.96
344,teknaf,92,BD,1532300150,100,20.86,92.31,74.01,4.94
345,linden,40,GY,1532296800,74,6.01,-58.31,82.4,11.41
346,labuhan,32,ID,1532300151,92,-2.54,115.51,75.54,2.71
347,sao felix do xingu,0,BR,1532300152,52,-6.64,-51.99,80.49,3.15
348,rio grande,0,BR,1532295900,93,-32.03,-52.1,55.4,6.93
349,homer,1,US,1532296380,67,59.64,-151.54,62.6,9.17
350,oak creek,75,US,1532299320,83,42.89,-87.86,75.2,8.05
351,arinos,44,BR,1532300153,44,-15.92,-46.11,67.62,6.85
352,haines junction,0,CA,1532300153,27,60.75,-137.51,75.72,3.04
353,lerwick,80,GB,1532298000,87,60.15,-1.15,55.4,10.29
354,san francisco,1,US,1532299200,77,37.78,-122.42,89.6,9.17
355,wilmington,75,US,1532298420,69,39.75,-75.55,82.4,20.8
356,shiyan,24,CN,1532300155,77,32.65,110.78,80.94,2.37
357,kaitangata,92,NZ,1532300155,100,-46.28,169.85,44.67,7.85
358,waterloo,90,CA,1532296800,83,43.47,-80.52,73.4,10.29
359,boa vista,75,BR,1532296800,83,2.82,-60.67,78.8,4.7
360,springbok,32,ZA,1532300156,35,-29.67,17.88,55.29,8.97
361,gorodovikovsk,48,RU,1532300156,78,46.08,41.93,70.77,6.73
362,labranzagrande,100,CO,1532300157,100,5.56,-72.58,62.76,1.14
363,abu kamal,0,SY,1532300157,35,34.45,40.92,83.01,13.0
364,padang,0,ID,1532300157,100,-0.92,100.36,82.02,8.86
365,mount gambier,48,AU,1532300157,61,-37.83,140.78,55.11,11.99
366,manoel urbano,0,BR,1532300158,77,-8.84,-69.26,73.74,3.04
367,pak phanang,32,TH,1532300158,97,8.35,100.2,82.47,10.09
368,dahra,40,DZ,1532296800,69,36.25,0.85,77.0,2.82
369,teahupoo,20,PF,1532298600,66,-17.83,-149.27,84.2,14.99
370,gat,92,SN,1532300159,83,14.69,-16.54,79.14,4.94
371,mirnyy,92,RU,1532300159,93,56.57,36.46,66.54,13.0
372,esperance,20,TT,1532296800,69,10.24,-61.45,82.4,14.99
373,katherine,0,AU,1532298600,40,-14.47,132.26,53.6,3.36
374,iracoubo,56,GF,1532300159,81,5.48,-53.21,78.96,4.83
375,joacaba,48,BR,1532300160,84,-27.18,-51.5,56.73,3.6
376,fairbanks,1,US,1532296680,30,64.84,-147.72,84.2,3.36
377,dingle,92,PH,1532300160,97,11.0,122.67,77.16,11.54
378,ucluelet,5,CA,1532296800,49,48.94,-125.55,73.4,9.17
379,monterey,1,US,1532298900,44,36.6,-121.89,78.8,21.92
380,grindavik,90,IS,1532296800,93,63.84,-22.43,48.2,1.12
381,coelho neto,0,BR,1532300161,76,-4.25,-43.02,77.07,3.38
382,reyes,0,BO,1532296800,57,-14.3,-67.34,78.8,2.59
383,awjilah,0,LY,1532300162,40,29.14,21.3,76.35,5.5
384,itaueira,36,BR,1532300162,47,-7.6,-43.03,79.59,9.19
385,puerto escondido,20,MX,1532295660,59,15.86,-97.07,91.4,8.05
386,liverpool,0,GB,1532298000,88,53.41,-2.98,66.2,1.12
